"","Age","Gender","OwnHome","Married","Location","Salary","Children","History","Catalogs","AmountSpent"
"456",3,2,"Own",2,"Close",33400,0,NA,12,567
"457",1,1,"Rent",1,"Close",68800,0,NA,6,1658
"458",1,1,"Rent",2,"Close",25700,2,"Low",6,173
"459",1,2,"Own",1,"Close",83700,0,"High",24,3344
"460",1,2,"Rent",2,"Close",50500,0,"Medium",12,1029
"461",3,1,"Rent",2,"Close",17300,0,"Low",12,345
"462",1,2,"Own",2,"Close",45800,0,NA,6,712
"463",2,2,"Own",1,"Close",108900,0,"High",12,1841
"464",1,1,"Rent",1,"Close",60500,2,"Low",6,409
"465",2,1,"Own",1,"Far",84100,0,"High",18,2710
"466",3,2,"Rent",1,"Far",25100,0,"Medium",12,592
"467",1,2,"Own",1,"Close",69900,1,NA,18,2101
"468",1,2,"Own",1,"Close",97100,0,NA,12,1473
"469",1,1,"Own",1,"Close",72200,2,"Medium",18,715
"470",2,1,"Own",1,"Far",78900,0,"High",18,2233
"471",1,1,"Own",2,"Far",62500,3,NA,6,921
"472",3,1,"Rent",2,"Close",17800,1,"Low",6,216
"473",1,1,"Own",1,"Close",105500,1,"High",6,1781
"474",1,1,"Own",2,"Close",46100,2,"Low",12,418
"475",3,2,"Rent",2,"Close",27100,1,"Low",12,268
"476",3,2,"Rent",1,"Far",60300,1,NA,6,1252
"477",3,1,"Rent",2,"Close",12000,0,"Low",6,140
"478",1,1,"Own",2,"Close",48400,0,"Medium",12,992
"479",1,2,"Rent",2,"Close",45600,0,"Medium",18,1388
"480",1,1,"Own",2,"Close",35200,2,"Low",6,233
"481",1,2,"Rent",2,"Far",60200,0,"High",24,2304
"482",1,1,"Rent",1,"Far",53900,1,"High",18,2177
"483",1,2,"Own",1,"Close",70400,2,NA,12,1127
"484",3,2,"Rent",1,"Close",36900,0,"Medium",18,721
"485",2,1,"Own",2,"Close",36100,0,"Medium",12,438
"486",3,1,"Rent",2,"Close",11000,2,NA,18,393
"487",1,2,"Own",2,"Close",61600,0,NA,18,1666
"488",1,2,"Own",1,"Close",88700,1,NA,18,2448
"489",1,1,"Own",1,"Far",88600,1,"High",18,2563
"490",1,2,"Rent",1,"Close",79500,0,"High",18,1763
"491",3,1,"Rent",2,"Close",18900,1,"Low",6,184
"492",2,1,"Own",2,"Close",17300,0,"Low",6,166
"493",1,1,"Rent",1,"Close",81400,2,NA,6,1014
"494",3,2,"Rent",1,"Close",36500,0,"Medium",24,1140
"495",1,1,"Own",2,"Close",43300,1,NA,18,1021
"496",1,2,"Own",1,"Close",76700,1,"Medium",24,1431
"497",1,2,"Own",1,"Far",123000,1,"High",24,5878
"498",1,2,"Own",2,"Close",56300,3,"Low",6,321
"499",1,2,"Own",1,"Close",70000,0,"High",24,1974
"500",1,2,"Own",2,"Close",48100,0,"Medium",18,1640
"501",3,1,"Rent",1,"Close",79400,0,NA,6,1175
"502",1,1,"Own",1,"Close",63700,3,"Low",12,364
"503",3,2,"Rent",2,"Close",21200,0,NA,12,417
"504",1,2,"Rent",2,"Close",53900,0,"Medium",12,1060
"505",2,1,"Own",1,"Close",118800,0,"High",18,2176
"506",1,1,"Own",1,"Close",79400,3,"Low",6,200
"507",2,1,"Rent",2,"Far",20400,0,NA,24,513
"508",1,2,"Rent",2,"Close",52400,0,NA,18,857
"509",2,1,"Own",2,"Close",17600,0,"Low",6,224
"510",3,2,"Rent",2,"Close",23500,0,"Low",12,371
"511",3,2,"Rent",1,"Close",56900,2,"Low",12,687
"512",1,2,"Own",1,"Close",95100,2,"Medium",12,809
"513",1,2,"Own",1,"Close",119800,2,"Medium",24,2090
"514",2,2,"Own",2,"Close",58700,0,NA,24,1479
"515",1,1,"Own",1,"Close",76700,2,"Medium",6,534
"516",1,2,"Own",1,"Close",67600,1,"Medium",18,1172
"517",1,2,"Own",2,"Close",61500,2,"Medium",24,968
"518",2,1,"Own",1,"Close",72900,0,"High",6,753
"519",2,1,"Rent",2,"Close",21200,0,"Low",6,242
"520",2,2,"Rent",2,"Close",32400,1,"Low",12,515
"521",1,1,"Own",1,"Close",62200,3,NA,24,2119
"522",2,1,"Own",2,"Close",24400,0,"Low",6,491
"523",1,2,"Own",1,"Close",66500,3,"Low",12,286
"524",2,1,"Rent",1,"Far",72200,0,"High",24,3069
"525",3,1,"Rent",2,"Close",16900,2,NA,6,281
"526",3,2,"Rent",1,"Close",56300,0,NA,24,1608
"527",2,1,"Own",2,"Far",22000,0,"Medium",12,736
"528",3,1,"Rent",2,"Close",18800,2,"Low",18,170
"529",3,1,"Rent",2,"Close",26600,2,"Low",24,245
"530",1,1,"Rent",1,"Close",72100,0,"High",24,3052
"531",1,2,"Own",2,"Far",55600,0,"High",18,1786
"532",3,1,"Rent",2,"Close",14600,3,"Low",6,0
"533",2,2,"Own",1,"Close",45900,0,"Medium",24,1645
"534",3,1,"Own",2,"Close",15100,0,"Low",6,274
"535",1,2,"Own",1,"Close",140700,3,"Medium",12,1001
"536",1,2,"Own",1,"Close",90300,0,"High",24,1944
"537",2,2,"Own",1,"Close",95900,0,"High",24,2585
"538",3,2,"Rent",2,"Far",20800,0,NA,6,260
"539",1,2,"Own",1,"Close",98400,0,"High",12,1414
"540",3,1,"Rent",2,"Close",15000,2,NA,12,341
"541",3,2,"Rent",2,"Close",17700,1,"Low",12,268
"542",1,2,"Own",1,"Close",102400,1,"High",18,1237
"543",3,2,"Rent",2,"Far",17800,1,NA,18,589
"544",3,2,"Rent",2,"Far",13800,1,"Low",12,368
"545",1,1,"Rent",2,"Close",50500,1,"Medium",12,940
"546",1,1,"Rent",2,"Close",42000,3,"Low",18,232
"547",1,2,"Own",1,"Close",95800,3,"Low",12,678
"548",3,2,"Rent",2,"Close",15200,0,NA,12,324
"549",3,2,"Rent",2,"Close",15800,2,"Low",12,147
"550",2,2,"Own",2,"Close",51400,0,NA,6,694
"551",2,1,"Rent",1,"Close",38200,0,"Medium",6,526
"552",1,1,"Rent",2,"Close",39900,1,"Low",12,586
"553",3,1,"Own",2,"Close",21600,2,NA,12,491
"554",2,1,"Own",1,"Close",65900,0,"High",24,1436
"555",1,1,"Own",1,"Close",97500,1,"High",12,1280
"556",1,2,"Rent",1,"Far",63000,0,"High",18,2107
"557",3,1,"Own",2,"Far",31900,0,NA,12,860
"558",1,1,"Rent",2,"Far",45500,1,NA,18,1624
"559",2,1,"Own",2,"Close",12800,0,NA,12,230
"560",2,1,"Own",1,"Far",12600,2,"Low",12,164
"561",1,2,"Rent",2,"Close",50700,3,"Low",6,157
"562",3,1,"Rent",2,"Close",17900,3,"Low",6,62
"563",3,1,"Rent",2,"Close",14400,1,"Low",18,223
"564",2,1,"Own",2,"Close",23800,0,"Low",6,438
"565",1,2,"Own",1,"Close",84700,3,NA,24,2705
"566",1,1,"Rent",2,"Close",36900,1,"Low",6,371
"567",2,1,"Own",2,"Close",20600,0,"Low",6,201
"568",3,2,"Rent",1,"Close",41500,0,NA,24,1213
"569",1,2,"Own",1,"Close",83100,2,"Medium",6,586
"570",1,2,"Own",1,"Far",88700,2,"High",24,2693
"571",2,1,"Own",1,"Close",54700,0,"Medium",24,1404
"572",1,2,"Own",2,"Close",68900,2,NA,18,2784
"573",3,1,"Rent",2,"Close",22200,2,"Low",18,275
"574",1,1,"Own",1,"Close",70900,1,"Medium",12,794
"575",1,2,"Own",2,"Close",55900,0,"Medium",12,964
"576",1,1,"Own",1,"Close",80800,1,NA,18,1598
"577",1,2,"Own",1,"Far",100600,3,"High",24,2838
"578",2,1,"Own",2,"Close",39900,0,NA,6,619
"579",3,1,"Rent",1,"Close",71200,3,"Low",12,392
"580",2,1,"Own",1,"Close",61000,0,NA,18,1850
"581",2,2,"Own",2,"Close",38700,0,NA,24,1506
"582",1,2,"Own",1,"Far",98900,0,NA,18,3126
"583",1,2,"Own",2,"Close",64300,0,NA,6,1325
"584",1,1,"Own",1,"Close",75600,0,NA,12,1541
"585",3,1,"Rent",1,"Far",53700,0,"High",24,2491
"586",1,2,"Own",2,"Close",66600,0,"High",18,1177
"587",2,1,"Own",1,"Close",89000,0,"High",12,1487
"588",3,1,"Rent",2,"Far",18200,2,"Low",12,322
"589",3,1,"Rent",1,"Close",73600,1,"Medium",6,647
"590",1,1,"Rent",2,"Far",45600,0,"High",12,1322
"591",3,2,"Own",1,"Close",73000,0,NA,6,1534
"592",3,2,"Own",2,"Close",29600,3,NA,12,583
"593",1,2,"Rent",1,"Close",92900,1,NA,6,1705
"594",2,1,"Rent",2,"Far",13900,0,"Low",6,191
"595",3,2,"Rent",1,"Close",64300,3,"Low",6,239
"596",1,2,"Own",1,"Close",77100,2,"Medium",6,568
"597",3,1,"Own",2,"Close",27500,3,NA,12,571
"598",2,2,"Rent",1,"Close",81800,0,"High",6,919
"599",2,1,"Rent",1,"Close",41700,0,"Medium",18,1398
"600",2,1,"Own",1,"Close",51000,0,"Medium",12,1025
"601",1,2,"Rent",2,"Close",55900,1,"Medium",12,909
"602",3,2,"Rent",2,"Close",19800,2,"Low",12,209
"603",3,2,"Rent",2,"Close",17600,0,NA,6,245
"604",1,2,"Rent",1,"Far",84100,1,"High",24,2362
"605",1,2,"Own",1,"Close",85600,0,"High",24,3380
"606",3,2,"Rent",2,"Close",13400,0,"Low",18,424
"607",3,1,"Rent",1,"Far",47200,1,"Medium",12,1272
"608",1,2,"Own",1,"Close",96300,1,"High",24,1909
"609",1,2,"Own",1,"Close",60500,3,"Low",12,340
"610",1,1,"Own",2,"Close",35800,1,NA,24,1355
"611",1,2,"Rent",1,"Close",106100,3,"Low",12,472
"612",3,2,"Rent",2,"Close",18000,0,"Low",12,303
"613",1,2,"Rent",2,"Far",50000,1,NA,6,1079
"614",2,1,"Own",2,"Close",58200,0,"Medium",18,981
"615",3,1,"Rent",2,"Far",13500,2,"Low",12,160
"616",1,1,"Own",1,"Close",59900,1,NA,6,613
"617",3,1,"Rent",2,"Far",18400,1,"Low",12,662
"618",1,2,"Rent",1,"Close",62800,3,"Low",6,177
"619",1,2,"Rent",2,"Close",70000,0,"High",6,785
"620",3,1,"Rent",2,"Far",13600,1,NA,18,349
"621",1,1,"Rent",1,"Close",97400,3,"Low",6,213
"622",2,1,"Own",1,"Far",37500,0,"Medium",18,1578
"623",2,1,"Own",2,"Close",22800,0,"Low",6,258
"624",3,1,"Rent",2,"Close",14200,0,NA,6,192
"625",3,2,"Rent",2,"Close",18700,0,"Low",12,289
"626",1,2,"Own",1,"Close",107400,1,"High",24,1821
"627",3,1,"Rent",2,"Far",28900,0,"Medium",24,905
"628",1,2,"Rent",1,"Close",38400,2,"Low",6,188
"629",1,2,"Rent",2,"Close",54200,0,NA,18,1405
"630",2,2,"Own",1,"Close",102700,0,NA,18,2381
"631",3,1,"Rent",2,"Close",13300,1,"Low",6,184
"632",1,2,"Own",2,"Close",60200,3,NA,12,1364
"633",3,2,"Rent",2,"Close",21400,0,NA,12,414
"634",3,1,"Rent",2,"Close",21700,2,NA,6,387
"635",3,2,"Rent",2,"Close",23200,1,"Low",24,504
"636",1,2,"Own",1,"Close",64800,2,"Medium",12,574
"637",1,2,"Rent",2,"Close",55600,0,"Medium",6,984
"638",1,2,"Own",1,"Far",89500,0,"High",24,5209
"639",3,1,"Rent",2,"Far",12500,1,NA,12,422
"640",1,2,"Own",1,"Close",87000,0,"High",24,1594
"641",1,1,"Rent",2,"Far",31200,3,NA,24,1087
"642",3,1,"Rent",2,"Close",13700,1,NA,6,163
"643",1,2,"Own",2,"Close",55500,3,"Low",18,427
"644",1,1,"Rent",2,"Close",58600,1,"Medium",6,624
"645",3,1,"Own",1,"Far",55900,1,NA,6,788
"646",3,1,"Rent",2,"Far",13700,2,NA,24,414
"647",2,1,"Own",1,"Far",81400,0,"High",24,3001
"648",2,1,"Own",1,"Close",90500,0,"High",6,863
"649",1,1,"Own",1,"Close",82200,1,NA,12,1517
"650",1,2,"Own",1,"Far",65400,3,NA,6,836
"651",1,2,"Own",2,"Close",74400,0,"High",12,1152
"652",3,2,"Rent",1,"Far",63300,3,NA,6,1408
"653",3,2,"Rent",1,"Far",51600,0,NA,12,1082
"654",3,2,"Rent",1,"Far",55000,0,NA,12,1162
"655",1,1,"Own",2,"Close",43900,2,"Low",6,358
"656",3,1,"Own",2,"Close",20300,1,"Low",12,304
"657",3,1,"Own",2,"Far",16300,0,NA,12,360
"658",1,2,"Own",1,"Close",97600,2,"Medium",12,1162
"659",2,1,"Rent",2,"Far",15100,0,"Low",6,348
"660",3,1,"Rent",2,"Close",12500,3,NA,12,206
"661",3,1,"Rent",2,"Close",10600,2,"Low",12,114
"662",1,1,"Own",2,"Close",41300,1,NA,18,932
"663",3,1,"Own",2,"Close",27200,2,"Low",18,446
"664",1,2,"Own",1,"Close",102400,1,NA,12,2466
"665",3,1,"Own",2,"Far",27900,1,NA,12,576
"666",2,2,"Rent",1,"Far",23800,0,NA,12,428
"667",1,2,"Own",1,"Close",100000,1,"High",24,2247
"668",1,1,"Rent",1,"Far",43300,3,"Medium",24,716
"669",1,2,"Own",1,"Close",65800,1,NA,12,1017
"670",1,1,"Own",1,"Close",49700,2,"Low",18,613
"671",1,1,"Rent",1,"Close",82300,2,"Medium",12,580
"672",1,2,"Rent",2,"Close",41200,0,"Medium",12,841
"673",3,2,"Rent",2,"Close",29200,0,"Low",18,737
"674",1,1,"Own",2,"Close",51900,2,NA,12,1162
"675",1,1,"Own",1,"Close",85500,2,"Medium",18,895
"676",3,1,"Rent",2,"Far",12400,3,"Low",18,205
"677",1,1,"Own",1,"Close",111900,1,NA,12,2340
"678",1,1,"Rent",2,"Close",40400,1,"Low",24,630
"679",3,2,"Rent",2,"Far",10900,0,"Low",24,407
"680",1,2,"Own",1,"Close",82400,3,NA,18,2122
"681",3,1,"Rent",2,"Close",13200,1,"Low",12,227
"682",1,2,"Rent",2,"Close",57800,0,"Medium",24,1149
"683",2,1,"Own",1,"Close",52200,1,"Medium",12,669
"684",1,2,"Rent",1,"Far",64600,2,NA,24,2935
"685",1,1,"Own",2,"Close",43100,0,NA,24,1444
"686",2,1,"Own",1,"Far",40100,0,"Medium",12,1384
"687",2,2,"Own",1,"Close",84500,0,NA,12,1557
"688",2,2,"Rent",1,"Close",34500,0,"Medium",12,802
"689",3,1,"Rent",1,"Close",61000,1,NA,18,1611
"690",2,1,"Own",1,"Far",79300,0,NA,12,2047
"691",1,2,"Rent",2,"Close",44500,0,"Medium",24,1175
"692",3,2,"Rent",1,"Close",39700,0,"Medium",18,1011
"693",2,1,"Own",2,"Close",30300,0,"Low",18,1062
"694",3,1,"Rent",2,"Close",20100,1,"Low",12,271
"695",2,2,"Own",1,"Far",86500,0,"High",24,2690
"696",2,1,"Rent",2,"Close",42500,0,"Medium",24,918
"697",1,2,"Own",1,"Close",102300,0,"High",24,2438
"698",1,1,"Own",2,"Far",52600,2,"Medium",12,1307
"699",1,1,"Rent",2,"Far",37800,2,NA,12,1185
"700",3,1,"Rent",2,"Close",20300,2,"Low",12,180
"701",1,2,"Own",1,"Close",71600,1,NA,12,1198
"702",3,2,"Rent",1,"Close",54500,1,"Medium",18,1001
"703",1,2,"Rent",2,"Close",54700,0,"Medium",24,1355
"704",1,2,"Rent",2,"Far",58600,2,NA,6,989
"705",1,2,"Rent",2,"Far",53800,0,"High",12,1803
"706",1,1,"Own",1,"Close",131500,3,NA,6,2840
"707",1,2,"Rent",2,"Far",52200,0,"High",24,1909
"708",3,2,"Rent",1,"Close",37200,1,"Low",6,247
"709",3,2,"Rent",2,"Far",22900,1,NA,12,814
"710",3,2,"Rent",1,"Close",55500,3,"Low",12,216
"711",3,1,"Rent",2,"Far",12800,1,NA,24,365
"712",3,1,"Rent",2,"Close",17600,2,"Low",18,163
"713",2,1,"Own",2,"Far",28300,0,"Medium",24,933
"714",2,2,"Own",2,"Close",41900,0,"Medium",6,654
"715",3,1,"Rent",2,"Close",14100,3,NA,6,153
"716",1,2,"Rent",2,"Close",52100,0,NA,12,1668
"717",1,2,"Rent",2,"Far",38700,1,"Medium",18,1009
"718",1,1,"Rent",2,"Far",44100,1,"Medium",18,1659
"719",1,2,"Own",1,"Far",79200,1,"High",6,1905
"720",3,1,"Rent",2,"Close",22600,3,NA,6,521
"721",1,2,"Rent",2,"Close",55100,2,NA,6,826
"722",2,1,"Own",1,"Far",70400,0,"High",18,2610
"723",1,2,"Own",1,"Close",107300,2,"Medium",24,1194
"724",1,1,"Rent",1,"Close",66500,1,NA,24,1181
"725",3,2,"Rent",2,"Close",10200,0,NA,24,362
"726",3,1,"Own",2,"Far",41000,1,"Medium",12,768
"727",1,1,"Rent",2,"Close",26200,1,"Low",12,381
"728",1,2,"Rent",1,"Far",72200,3,"Medium",18,1811
"729",1,2,"Rent",2,"Far",36700,1,"Medium",24,1218
"730",2,2,"Own",1,"Far",74500,0,NA,18,1413
"731",1,1,"Own",2,"Close",60200,1,NA,12,1748
"732",2,2,"Rent",2,"Close",34500,0,"Medium",24,639
"733",2,1,"Own",1,"Close",83700,0,"High",18,1582
"734",3,2,"Rent",2,"Far",14800,1,NA,12,376
"735",1,2,"Own",1,"Close",106400,0,NA,12,1757
"736",3,1,"Rent",1,"Close",42000,3,"Low",6,105
"737",1,2,"Rent",1,"Close",118800,0,"High",12,2631
"738",3,1,"Own",2,"Far",21900,2,"Low",24,486
"739",1,2,"Rent",2,"Close",39500,1,NA,6,412
"740",1,2,"Rent",2,"Close",45900,0,"Medium",12,716
"741",3,1,"Rent",1,"Close",37100,2,"Low",24,653
"742",1,1,"Rent",2,"Close",28200,1,"Low",6,224
"743",1,2,"Rent",1,"Close",74600,2,"Medium",18,705
"744",1,2,"Own",1,"Close",122700,1,NA,18,4984
"745",3,1,"Rent",2,"Close",14200,2,"Low",18,197
"746",1,2,"Own",1,"Far",75500,0,NA,18,2450
"747",1,2,"Own",2,"Close",62900,0,NA,24,2561
"748",3,2,"Rent",2,"Far",19400,0,"Low",6,563
"749",1,1,"Rent",2,"Close",46600,0,NA,12,546
"750",1,2,"Own",1,"Far",79700,1,"High",24,3384
"751",1,2,"Own",2,"Close",45900,2,"Low",12,416
"752",2,1,"Own",1,"Close",42800,0,"Medium",6,685
"753",2,2,"Own",1,"Far",65500,0,"High",24,1931
"754",2,1,"Rent",2,"Close",33600,0,"Medium",12,573
"755",1,1,"Own",2,"Far",55600,1,"High",18,1553
"756",3,1,"Rent",2,"Close",24000,2,NA,6,362
"757",3,2,"Rent",2,"Far",25700,0,"Medium",18,907
"758",2,1,"Own",1,"Close",21500,0,"Low",18,445
"759",2,1,"Rent",1,"Close",68600,0,"High",18,1342
"760",3,1,"Rent",2,"Far",23100,2,"Low",12,457
"761",1,1,"Rent",1,"Close",53300,0,"Medium",24,1598
"762",2,1,"Own",1,"Close",112800,0,"High",12,1861
"763",2,2,"Own",1,"Close",124900,0,"High",18,4109
"764",1,1,"Own",2,"Close",72200,0,NA,18,3278
"765",1,2,"Rent",2,"Close",35100,1,"Low",6,421
"766",2,1,"Rent",2,"Close",14900,0,NA,12,275
"767",1,2,"Rent",2,"Close",72000,0,"High",12,1475
"768",1,2,"Own",1,"Close",82400,0,"High",18,1779
"769",3,2,"Rent",1,"Close",41600,3,NA,24,1634
"770",1,1,"Own",1,"Close",68500,2,NA,12,1500
"771",3,2,"Own",1,"Close",62200,0,"High",24,1348
"772",2,1,"Own",2,"Close",35900,0,NA,12,962
"773",3,2,"Rent",2,"Close",14100,0,"Low",12,328
"774",3,1,"Rent",1,"Close",36500,1,NA,18,747
"775",1,1,"Own",1,"Close",86400,1,"High",12,1713
"776",2,1,"Rent",1,"Close",39500,0,"Medium",12,1006
"777",2,2,"Own",1,"Close",85300,0,NA,12,2523
"778",2,1,"Own",1,"Close",110700,0,"High",12,2458
"779",3,2,"Rent",2,"Far",17700,0,"Low",18,742
"780",3,1,"Rent",1,"Far",33200,1,NA,24,1639
"781",1,1,"Own",2,"Close",53800,0,"Medium",12,843
"782",2,2,"Rent",2,"Close",44400,0,"Medium",18,886
"783",1,1,"Rent",1,"Close",135700,1,"High",24,2746
"784",3,1,"Rent",2,"Far",20700,1,"Low",12,550
"785",1,2,"Rent",1,"Far",83500,2,"High",24,2098
"786",1,1,"Rent",1,"Close",84200,2,"Medium",24,954
"787",1,1,"Rent",1,"Close",79900,1,"Medium",12,1041
"788",2,1,"Rent",2,"Far",19700,0,"Low",6,535
"789",1,1,"Rent",2,"Close",35300,0,NA,18,1369
"790",2,2,"Own",1,"Far",52000,0,"High",18,2545
"791",3,2,"Rent",2,"Close",21300,1,NA,12,329
"792",1,2,"Own",2,"Close",63700,0,NA,6,1351
"793",2,1,"Own",1,"Close",25900,0,"Low",18,582
"794",1,2,"Rent",1,"Close",65800,2,"Medium",18,578
"795",2,1,"Rent",2,"Close",11000,0,NA,24,195
"796",2,1,"Rent",1,"Close",65900,0,"High",12,777
"797",1,1,"Own",1,"Close",108100,1,"High",12,1133
"798",1,2,"Own",1,"Close",107300,2,"Medium",18,1566
"799",1,1,"Rent",1,"Close",79500,0,"High",12,1651
"800",1,1,"Rent",1,"Close",95900,0,NA,24,3168
"801",1,2,"Rent",2,"Close",45200,1,"Medium",18,699
"802",1,2,"Own",1,"Close",98500,0,"High",18,2034
"803",2,1,"Own",1,"Close",96200,0,"High",12,1457
"804",3,2,"Rent",2,"Close",17900,0,NA,18,395
"805",1,2,"Own",1,"Close",42700,0,"Medium",6,541
"806",1,2,"Own",2,"Far",49700,0,"High",24,2844
"807",1,1,"Rent",2,"Close",43000,3,"Low",24,225
"808",3,1,"Rent",2,"Close",15500,1,"Low",6,210
"809",3,2,"Rent",2,"Close",13000,3,"Low",6,43
"810",1,1,"Rent",2,"Close",27200,3,"Low",24,243
"811",2,1,"Own",1,"Close",26700,0,"Low",24,1120
"812",2,2,"Own",2,"Far",61000,0,"High",6,975
"813",1,1,"Own",1,"Close",76600,3,NA,24,2904
"814",1,2,"Own",1,"Close",117500,2,"Medium",12,927
"815",2,2,"Own",1,"Close",90600,0,"High",24,3167
"816",3,1,"Rent",2,"Far",12600,0,"Low",6,241
"817",2,1,"Own",2,"Close",12700,2,"Low",6,65
"818",1,1,"Own",1,"Far",77600,3,"Medium",12,858
"819",1,1,"Rent",1,"Far",92400,1,NA,6,2191
"820",2,1,"Rent",1,"Close",71800,0,"High",24,1946
"821",1,2,"Own",1,"Far",95800,3,NA,12,2581
"822",3,1,"Own",2,"Close",32600,3,"Low",12,172
"823",1,2,"Own",1,"Close",74500,2,"Medium",12,824
"824",2,1,"Rent",2,"Close",29200,0,"Low",12,556
"825",3,1,"Rent",2,"Far",12900,1,"Low",6,167
"826",1,2,"Rent",1,"Close",117700,1,"High",12,2104
"827",1,1,"Own",1,"Close",64100,1,"Medium",18,1332
"828",1,1,"Rent",2,"Close",46500,1,"Medium",24,829
"829",3,1,"Rent",2,"Close",12400,1,NA,12,229
"830",1,2,"Own",1,"Far",130600,0,"High",18,3442
"831",1,2,"Own",1,"Far",74400,0,"High",6,1893
"832",2,1,"Own",2,"Far",40600,2,"Medium",6,690
"833",3,1,"Rent",1,"Close",54200,1,"Medium",6,486
"834",1,2,"Own",2,"Far",65400,1,"High",12,2290
"835",1,2,"Rent",2,"Close",49100,0,NA,6,934
"836",3,1,"Rent",2,"Close",10600,2,NA,24,517
"837",3,1,"Rent",1,"Close",76400,0,NA,12,2216
"838",1,1,"Rent",1,"Close",93700,1,"High",24,1521
"839",1,2,"Rent",2,"Far",49000,0,"High",18,1523
"840",1,1,"Own",1,"Close",96500,1,"High",18,1364
"841",1,2,"Own",2,"Close",55600,0,NA,12,952
"842",1,2,"Own",1,"Close",99600,1,"High",6,871
"843",1,1,"Own",1,"Close",79900,3,"Low",12,295
"844",2,1,"Rent",1,"Close",50500,0,"Medium",12,642
"845",2,1,"Own",2,"Far",16300,0,"Low",6,317
"846",2,1,"Own",1,"Close",49200,0,"Medium",12,1078
"847",1,2,"Own",2,"Far",48100,2,"Medium",18,961
"848",1,2,"Own",2,"Far",61300,2,"High",24,1241
"849",1,1,"Own",1,"Close",72600,1,NA,18,1999
"850",3,2,"Rent",2,"Far",19500,0,NA,24,571
"851",3,1,"Rent",2,"Close",17200,1,NA,12,329
"852",1,2,"Rent",2,"Far",51100,0,"High",24,1984
"853",1,2,"Own",2,"Close",76800,1,"Medium",18,1061
"854",1,2,"Own",2,"Far",60200,0,"High",12,1955
"855",1,2,"Rent",2,"Close",59100,2,"Low",18,580
"856",2,1,"Own",2,"Close",32500,0,"Medium",24,883
"857",1,1,"Rent",2,"Far",49500,2,"Medium",12,1195
"858",1,2,"Own",1,"Close",109600,1,"High",12,2318
"859",3,1,"Rent",1,"Close",47300,0,NA,6,640
"860",1,2,"Rent",1,"Close",93000,1,"High",24,2644
"861",3,1,"Own",2,"Far",32000,1,NA,24,1320
"862",3,1,"Own",2,"Close",44700,1,"Medium",6,502
"863",2,1,"Own",1,"Close",69400,0,"High",18,2419
"864",1,2,"Own",1,"Close",64300,2,"Medium",6,661
"865",1,2,"Own",2,"Far",75400,0,"High",24,2723
"866",1,2,"Own",1,"Close",96100,0,"High",6,1588
"867",2,1,"Own",1,"Close",118000,3,"Low",12,581
"868",3,2,"Rent",1,"Close",69700,1,"Medium",12,1432
"869",2,2,"Own",2,"Close",59300,0,"Medium",12,929
"870",1,1,"Rent",1,"Close",88600,3,"Low",6,212
"871",1,2,"Own",1,"Close",102600,0,"High",18,2546
"872",1,2,"Rent",2,"Close",43700,0,NA,18,1344
"873",2,1,"Own",1,"Close",22400,0,NA,24,947
"874",1,2,"Rent",1,"Far",70500,1,NA,24,2145
"875",1,2,"Own",1,"Close",54200,1,"Medium",6,757
"876",1,1,"Own",2,"Far",25300,1,NA,6,451
"877",2,2,"Own",1,"Close",116100,1,"High",24,2975
"878",3,1,"Rent",2,"Close",15900,0,NA,18,406
"879",1,1,"Own",2,"Close",46600,3,"Low",6,158
"880",3,2,"Own",2,"Close",23200,0,NA,24,534
"881",3,2,"Rent",2,"Close",18200,0,"Low",12,401
"882",1,1,"Own",1,"Close",82700,1,"High",18,1753
"883",3,1,"Rent",2,"Close",17000,0,"Low",18,659
"884",1,2,"Own",1,"Close",83000,2,"Medium",6,726
"885",3,1,"Own",1,"Close",42400,1,NA,18,1166
"886",2,2,"Own",2,"Close",40200,2,NA,18,1197
"887",3,1,"Rent",2,"Far",17300,0,"Low",6,411
"888",1,1,"Own",1,"Close",109800,1,"High",24,2258
"889",1,1,"Own",2,"Far",64400,3,"Medium",24,1913
"890",3,1,"Rent",2,"Far",27600,1,"Medium",24,893
"891",3,1,"Rent",2,"Close",25100,1,NA,6,421
"892",1,1,"Own",2,"Close",46300,3,NA,6,1138
"893",2,1,"Own",1,"Far",74900,0,NA,12,1804
"894",1,2,"Own",2,"Close",67900,0,"High",18,1418
"895",1,2,"Rent",1,"Close",88500,2,"Medium",24,1104
"896",1,2,"Own",1,"Close",99200,3,NA,12,2796
"897",2,1,"Own",1,"Close",62800,0,"High",18,1403
"898",2,2,"Own",1,"Far",76900,2,"High",24,3230
"899",1,2,"Own",1,"Close",84100,3,NA,6,1352
"900",2,1,"Own",1,"Close",77600,0,"High",18,2004
"901",3,1,"Rent",2,"Close",19100,1,"Low",18,403
"902",2,1,"Own",1,"Far",128700,0,"High",24,3995
"903",3,1,"Rent",2,"Far",14400,1,"Low",6,390
"904",2,2,"Rent",1,"Close",49600,0,"Medium",6,770
"905",1,1,"Rent",2,"Close",47000,0,NA,6,963
"906",3,1,"Rent",1,"Close",36600,0,"Medium",6,833
"907",1,1,"Own",2,"Close",65800,1,"Medium",12,869
"908",1,2,"Rent",1,"Far",52800,2,"Medium",12,926
"909",1,2,"Own",1,"Close",96500,0,"High",24,3780
"910",1,1,"Rent",1,"Close",63500,1,"Medium",18,1023
